관리번호,성명,생년월일,사망년월일,성별,본적(대),본적(중),운동계열,포상년도,훈격(대분류),훈격(소분류),훈장전수여부,외국인여부
2,강기동,1884-03-05,1911-04-17,남,경기도,장단,의병,1962,건국훈장,대통령장,전수,N
3,강기준,1921-03-17,1972-05-01,남,평안북도,창성,광복군,1963,표창,대통령표창,전수,N
4,홍준옥,1888-07-25,1945-12-07,남,경기도,화성,3.1운동,1977,건국훈장,독립장,전수,N
5,강기덕,1889-05-14,미상,남,함경남도,원산,국내항일,1990,건국훈장,독립장,전수,N
6,이기윤,1898-09-09,1938-06-24,남,경상북도,청도,3.1운동,1992,건국훈장,애족장,전수,N
7,강명규,1896-01-12,1983-10-15,남,황해도,봉산,만주방면,1963,건국훈장,독립장,전수,N
8,최명선,1917-04-21,1988-07-18,남,함경남도,문천,광복군,1990,건국훈장,애족장,전수,N
9,정재만,1900-02-22,1935-08-00,남,평안남도,평원,만주방면,1992,건국훈장,애국장,전수,N
10,박주양,1898-11-12,1998-08-08,남,황해도,송화,3.1운동,1992,표창,대통령표창,전수,N
11,이시태,1893-10-13,1933-11-26,남,평안남도,평양,만주방면,1990,건국훈장,애국장,전수,N
12,이효덕,1895-01-24,1978-09-15,여,평안남도,용강,3.1운동,1992,표창,대통령표창,미전수,N
13,김창옥,1878-03-16,1930-02-14,남,경상북도,안동,3.1운동,1990,건국훈장,애족장,전수,N
16,장철호,1892-02-06,1945-02-02,남,평안북도,의주,만주방면,1990,건국훈장,독립장,전수,N
18,김일준,1882-11-06,1942-04-30,남,평안북도,선천,계몽운동,1990,건국훈장,애족장,전수,N
19,김덕현,1880-06-17,1920-09-19,남,함경북도,회령,만주방면,1990,건국훈장,애국장,전수,N
22,안봉국,1894-01-21,미상,남,평안북도,철산,3.1운동,1990,건국훈장,애족장,전수,N
23,강무경,1878-00-00,1910-10-04,남,전라북도,무주,의병,1962,건국훈장,독립장,전수,N
26,홍승준,1924-06-25,1971-01-20,남,서울,,국내항일,1990,건국훈장,애족장,전수,N
27,오현경,1878-03-07,1972-05-28,남,황해도,해주,3.1운동,2001,건국훈장,애족장,전수,N
28,문성초,1887-12-30,1919-04-06,남,경상남도,울산,3.1운동,1990,건국훈장,애국장,전수,N
29,손진형,1871-07-20,1919-07-14,남,경상북도,월성,임시정부,1990,건국훈장,애국장,전수,N
30,차천모,1889-06-21,1944-06-10,남,평안북도,의주,만주방면,1977,건국훈장,독립장,전수,N
31,이강훈,1903-06-13,2003-11-12,남,강원도,김화,중국방면,1977,건국훈장,독립장,전수,N
32,신현상,1905-01-20,1950-09-14,남,충청남도,예산,중국방면,1990,건국훈장,애국장,전수,N
33,최덕휴,1922-07-04,1998-02-21,남,충청남도,홍성,광복군,1990,건국훈장,애족장,전수,N
35,이규창,1900-02-17,1970-06-20,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
36,이상신,1888-05-05,1961-04-19,남,경기도,안성,3.1운동,1990,건국훈장,애국장,전수,N
37,최영무,1885-05-11,1952-01-10,남,경기도,여주,3.1운동,1990,건국훈장,애족장,전수,N
38,장홍진,1899-10-07,1938-05-03,남,충청남도,연기,3.1운동,1992,표창,대통령표창,전수,N
39,김화영,1886-08-07,1968-12-24,남,경상북도,안동,3.1운동,1990,건국훈장,애족장,전수,N
40,김영하,1897-10-01,1978-02-10,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
41,권중옥,1888-08-07,1960-01-15,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
42,박천봉,1898-02-06,1968-03-24,남,경기도,안성,3.1운동,1990,건국훈장,애족장,전수,N
43,이승순,1868-08-17,1936-12-31,남,전라북도,남원,3.1운동,1990,건국훈장,애족장,전수,N
44,강문길,1919-05-07,1968-12-18,남,평안북도,철산,광복군,1963,표창,대통령표창,전수,N
46,문현서,1897-03-21,1976-04-16,남,황해도,장연,국내항일,1990,건국훈장,애족장,전수,N
47,김재완,1877-07-18,1923-05-10,남,서울,,3.1운동,1992,표창,대통령표창,전수,N
48,김승문,1900-07-17,1980-04-05,남,평안남도,덕천,만주방면,1990,건국훈장,애족장,전수,N
50,상훈,1901-03-18,1985-07-16,남,경기도,개성,3.1운동,1990,건국훈장,애족장,전수,N
57,전협,1876-01-01,1927-07-10,남,경기도,경성,국내항일,1990,건국훈장,애국장,전수,N
61,한흥리,1900-07-18,1979-05-08,남,경기도,시흥,3.1운동,1990,건국훈장,애족장,전수,N
62,김이환,1894-01-30,1978-06-06,남,황해도,수안,3.1운동,1992,표창,대통령표창,전수,N
63,안재원,1891-09-25,1961-07-06,남,경상남도,함안,3.1운동,1990,건국훈장,애족장,전수,N
64,한관렬,1892-12-18,1950-01-14,남,경상남도,함안,3.1운동,1990,건국훈장,애족장,전수,N
65,손조동,1910-03-10,1978-05-17,남,경상남도,창원,국내항일,2025,표창,대통령표창,미전수,N
66,이종찬,1883-12-12,1953-10-25,남,경상남도,함안,3.1운동,1990,건국훈장,애족장,전수,N
67,안재휘,1894-08-10,1961-09-21,남,경상남도,함안,3.1운동,1990,건국훈장,애족장,전수,N
68,윤국범,1883-03-10,1911-02-28,남,경상북도,예천,의병,1990,건국훈장,애국장,전수,N
69,전병림,1924-08-19,1990-09-04,남,경상북도,예천,광복군,1990,건국훈장,애족장,전수,N
70,현준석,1924-06-01,1969-05-09,남,경상북도,문경,광복군,2005,건국훈장,애족장,전수,N
71,박하규,1924-09-04,2005-04-18,남,경상북도,상주,광복군,1990,건국훈장,애족장,전수,N
73,강성곤,미상,미상,남,미상,,만주방면,1990,건국훈장,애족장,미전수,N
74,한면필,1920-08-11,1980-09-03,남,함경남도,함흥,광복군,2005,건국훈장,애족장,미전수,N
76,김영춘,1924-03-11,1991-04-16,남,경상북도,안동,광복군,1990,건국훈장,애족장,전수,N
78,강순필,1884-00-00,1921-00-00,남,경상북도,상주,국내항일,1963,건국훈장,독립장,미전수,N
79,박영출,1907-03-20,1938-08-02,남,경상남도,부산,국내항일,1990,건국훈장,애국장,전수,N
80,정옥모,1924-11-06,1989-05-30,남,충청북도,보은,광복군,1990,건국훈장,애족장,전수,N
81,강승문,1893-09-03,1919-04-01,남,강원도,횡성,3.1운동,1977,표창,대통령표창,전수,N
82,홍종현,1890-01-03,1977-01-20,남,경상북도,군위,3.1운동,1990,건국훈장,애족장,전수,N
83,배혁모,1875-12-09,1960-04-19,남,경상북도,안동,3.1운동,1990,건국훈장,애족장,전수,N
84,송장식,1895-05-09,1982-10-25,남,경상북도,안동,3.1운동,1992,표창,대통령표창,전수,N
85,송기식,1878-09-25,1949-03-22,남,경상북도,안동,3.1운동,1990,건국훈장,애족장,전수,N
86,손영학,1895-06-04,1944-03-16,남,경상북도,안동,3.1운동,1990,건국훈장,애국장,전수,N
87,김충한,1883-10-24,1965-12-30,남,경상북도,의성,3.1운동,1990,건국훈장,애족장,전수,N
88,이덕숙,1894-01-17,1960-05-10,남,경상북도,안동,만주방면,1990,건국훈장,애국장,전수,N
89,안희문,1898-04-21,1979-01-31,남,경기도,진위,3.1운동,1992,표창,대통령표창,전수,N
91,이종렬,1924-11-29,2019-10-24,남,경상북도,예천,광복군,1990,건국훈장,애족장,전수,N
93,김용욱,1869-03-06,1921-08-09,남,경상북도,울진,의병,1990,건국훈장,애국장,전수,N
94,박성화,1921-11-19,1993-01-29,남,함경남도,갑산,국내항일,1990,건국훈장,애족장,전수,N
95,강우규,1855-07-14,1920-11-29,남,함경남도,홍원,의열투쟁,1962,건국훈장,대한민국장,전수,N
96,강인호,1919-04-23,1997-12-14,남,평안북도,정주,광복군,1963,표창,대통령표창,전수,N
97,강정상,1928-11-25,2011-05-30,남,평안북도,창성,광복군,1980,표창,대통령표창,전수,N
98,강정선,1920-00-00,1946-06-00,남,평안북도,창성,광복군,1990,건국훈장,애족장,미전수,N
99,강창제,1898-04-07,1965-02-07,남,평안북도,창성,임시정부,1963,건국훈장,독립장,전수,N
100,강철구,1894-02-08,1943-10-21,남,충청남도,부여,만주방면,1963,건국훈장,독립장,전수,N
101,계지풍,1909-01-15,1990-04-26,남,황해도,해주,광복군,1977,표창,대통령표창,전수,N
102,계화,1885-10-07,1921-00-00,남,평안북도,선천,만주방면,1963,건국훈장,독립장,전수,N
103,고광순,1848-02-07,1907-10-17,남,전라남도,담양,의병,1962,건국훈장,독립장,전수,N
104,고두환,1894-00-00,미상,남,함경남도,북청,만주방면,1962,건국훈장,독립장,미전수,N
105,고병남,미상,미상,남,미상,,계몽운동,1990,건국훈장,애족장,미전수,N
112,최원형,1901-03-13,1945-02-08,남,경상남도,사천,일본방면,1990,건국훈장,애국장,전수,N
113,최종삼,1896-10-17,1979-11-05,남,전라북도,전주,3.1운동,1990,건국훈장,애족장,전수,N
115,김반수,1904-09-19,2001-12-22,여,경상남도,동래,3.1운동,1992,표창,대통령표창,전수,N
116,정명준,1900-07-26,1959-08-22,남,경상북도,칠곡,국내항일,1990,건국훈장,애족장,전수,N
117,오석준,1876-12-24,1951-08-07,남,경상북도,영양,3.1운동,1990,건국훈장,애족장,전수,N
118,유동창,1898-09-22,1988-08-31,남,경상북도,안동,3.1운동,1990,건국훈장,애족장,전수,N
120,박순호,1873-01-08,1934-05-30,남,경상북도,달성,3.1운동,2004,포장,건국포장,전수,N
122,권사연,1881-02-16,1925-06-25,남,경상북도,의성,3.1운동,1990,건국훈장,애족장,전수,N
123,고순흠,1893-01-14,1977-11-05,남,제주도,기타,계몽운동,1990,건국훈장,애족장,전수,N
124,고여순,1907-00-00,1946-06-00,남,미상,,광복군,1990,건국훈장,애족장,미전수,N
125,이이경,1890-11-09,1968-06-30,남,경상북도,의성,3.1운동,1992,표창,대통령표창,전수,N
126,이원영,1886-07-03,1958-06-21,남,경상북도,안동,3.1운동,1990,건국훈장,애족장,전수,N
127,이종출,1890-02-19,1966-06-28,남,경상북도,의성,3.1운동,1990,건국훈장,애족장,전수,N
128,장언조,1924-09-05,1998-09-29,남,경상북도,대구,광복군,1990,건국훈장,애족장,전수,N
129,김해득,1924-01-15,1984-06-12,남,경상북도,청도,광복군,1990,건국훈장,애족장,전수,N
130,신길우,1924-02-11,2003-12-05,남,경상북도,고령,광복군,1990,건국훈장,애족장,전수,N
133,김춘배,1906-02-29,1942-07-08,남,전라북도,완주,만주방면,1990,건국훈장,독립장,전수,N
134,류재영,1919-08-06,1997-12-30,남,충청남도,금산,광복군,1990,건국훈장,애족장,전수,N
135,조봉길,1893-08-20,1955-11-07,남,평안북도,의주,임시정부,1990,건국훈장,애족장,전수,N
136,김정진,1888-10-08,1969-05-04,남,충청남도,서산,만주방면,1990,건국훈장,애족장,전수,N
138,한양이,1883-01-16,1946-02-16,남,경상북도,예천,의병,1990,건국훈장,애국장,전수,N
139,윤종록,1924-10-29,2010-10-12,남,경상북도,예천,광복군,1990,건국훈장,애족장,전수,N
140,곽재구,1889-04-06,1932-06-00,남,전라남도,나주,의병,1990,건국훈장,애국장,전수,N
141,고운기,1907-00-00,1943-00-00,남,함경남도,문천,광복군,1963,건국훈장,독립장,미전수,N
142,채혜수,1896-11-09,1978-12-17,여,평안남도,평양,3.1운동,2008,표창,대통령표창,전수,N
143,고이허,1902-09-05,1937-02-17,남,황해도,수안,만주방면,1968,건국훈장,독립장,전수,N
144,고익균,1887-12-11,1928-05-05,남,황해도,송화,임시정부,1990,건국훈장,애족장,전수,N
145,박재식,1888-05-17,1927-09-27,남,경상북도,안동,3.1운동,1990,건국훈장,애국장,전수,N
146,김련,1888-04-19,1950-06-00,남,평안북도,강계,만주방면,1990,건국훈장,애족장,전수,N
147,김용기,1901-10-30,1983-11-26,남,평안북도,선천,만주방면,1990,건국훈장,애국장,전수,N
148,고인덕,1887-11-03,1926-12-21,남,경상남도,밀양,의열투쟁,1963,건국훈장,독립장,전수,N
149,김현경,1897-06-20,1986-08-15,여,충청남도,공주,3.1운동,1998,포장,건국포장,전수,N
153,한영호,1877-02-20,1944-12-28,남,함경남도,함흥,3.1운동,1990,건국훈장,애족장,전수,N
